timestamp_ns,type,seq,exposure_us,iso,path
1807667143000,rgb,1467,1000,1600,rgb/rgb_1807667143000_1467.png
1807767249000,rgb,1470,1000,1600,rgb/rgb_1807767249000_1470.png
1807867350000,rgb,1473,1000,1600,rgb/rgb_1807867350000_1473.png
1807934081000,rgb,1475,1000,1600,rgb/rgb_1807934081000_1475.png
1808034183000,rgb,1478,1000,1600,rgb/rgb_1808034183000_1478.png
1808134285000,rgb,1481,1000,1600,rgb/rgb_1808134285000_1481.png
1808234390000,rgb,1484,1000,1600,rgb/rgb_1808234390000_1484.png
1808334490000,rgb,1487,1000,1600,rgb/rgb_1808334490000_1487.png
1808434591000,rgb,1490,1000,1600,rgb/rgb_1808434591000_1490.png
1808534693000,rgb,1493,1000,1600,rgb/rgb_1808534693000_1493.png
1808634795000,rgb,1496,1000,1600,rgb/rgb_1808634795000_1496.png
1808734897000,rgb,1499,1000,1600,rgb/rgb_1808734897000_1499.png
1808801631000,rgb,1501,1000,1600,rgb/rgb_1808801631000_1501.png
1808901733000,rgb,1504,1000,1600,rgb/rgb_1808901733000_1504.png
1809001835000,rgb,1507,1000,1600,rgb/rgb_1809001835000_1507.png
1809101938000,rgb,1510,1000,1600,rgb/rgb_1809101938000_1510.png
1812905811000,rgb,1624,1000,1600,rgb/rgb_1812905811000_1624.png
1813039280000,rgb,1628,1000,1600,rgb/rgb_1813039280000_1628.png
1813106019000,rgb,1630,1000,1600,rgb/rgb_1813106019000_1630.png
1813172749000,rgb,1632,1000,1600,rgb/rgb_1813172749000_1632.png
1813272851000,rgb,1635,1000,1600,rgb/rgb_1813272851000_1635.png
1813372953000,rgb,1638,1000,1600,rgb/rgb_1813372953000_1638.png
1813439688000,rgb,1640,1000,1600,rgb/rgb_1813439688000_1640.png
1813506422000,rgb,1642,1000,1600,rgb/rgb_1813506422000_1642.png
1813639892000,rgb,1646,1000,1600,rgb/rgb_1813639892000_1646.png
1813706627000,rgb,1648,1000,1600,rgb/rgb_1813706627000_1648.png
1813773361000,rgb,1650,1000,1600,rgb/rgb_1813773361000_1650.png
1813873465000,rgb,1653,1000,1600,rgb/rgb_1813873465000_1653.png
1813973565000,rgb,1656,1000,1600,rgb/rgb_1813973565000_1656.png
1814040300000,rgb,1658,1000,1600,rgb/rgb_1814040300000_1658.png
1814140403000,rgb,1661,1000,1600,rgb/rgb_1814140403000_1661.png
1814207136000,rgb,1663,1000,1600,rgb/rgb_1814207136000_1663.png
