timestamp_ns,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s,linacc_x_m_s2,linacc_y_m_s2,linacc_z_m_s2
7142671228000,0.115234375,0.08984375,0.041015625,0.04296875,0.29296875,-0.265625
7142673638000,0.111328125,0.0859375,0.0234375,0.04296875,0.29296875,-0.265625
7142676147000,0.115234375,0.08203125,0.01953125,-0.0078125,0.1328125,-0.2578125
7142681136000,0.138671875,0.07421875,0.00390625,-0.0078125,0.1328125,-0.25
7142684089000,0.166015625,0.068359375,-0.005859375,-0.046875,0.0546875,-0.3046875
7142686001000,0.1875,0.056640625,-0.017578125,-0.12109375,0.02734375,-0.32421875
7142688520000,0.21484375,0.052734375,-0.033203125,-0.12109375,0.02734375,-0.32421875
7142691066000,0.240234375,0.029296875,-0.04296875,-0.16796875,-0.0703125,-0.31640625
7142693617000,0.279296875,0.029296875,-0.0546875,-0.20703125,-0.13671875,-0.30859375
7142696100000,0.310546875,0.015625,-0.0703125,-0.20703125,-0.17578125,-0.30859375
7142700974000,0.38671875,0.0078125,-0.08203125,-0.21484375,-0.17578125,-0.30859375
7142703624000,0.427734375,0.009765625,-0.12109375,-0.2265625,-0.20703125,-0.34765625
7142705880000,0.478515625,0.0,-0.138671875,-0.30078125,-0.2265625,-0.296875
7142708465000,0.505859375,-0.013671875,-0.138671875,-0.30078125,-0.21875,-0.296875
7142710807000,0.552734375,-0.017578125,-0.162109375,-0.33984375,-0.27734375,-0.22265625
7142713543000,0.578125,-0.02734375,-0.173828125,-0.37890625,-0.2890625,-0.18359375
7142716045000,0.607421875,-0.0390625,-0.193359375,-0.3984375,-0.2890625,-0.15625
7142718351000,0.6484375,-0.033203125,-0.212890625,-0.37890625,-0.2734375,-0.1171875
7142721006000,0.671875,-0.029296875,-0.220703125,-0.37890625,-0.265625,-0.1171875
7142723550000,0.693359375,-0.033203125,-0.224609375,-0.41796875,-0.15234375,-0.0703125
7142728430000,0.74609375,-0.041015625,-0.240234375,-0.41796875,-0.14453125,-0.0703125
7142731306000,0.76171875,-0.044921875,-0.251953125,-0.50390625,-0.08984375,0.07421875
7142733395000,0.7578125,-0.0546875,-0.2578125,-0.5234375,-0.03125,0.1328125
7142735985000,0.78125,-0.0625,-0.275390625,-0.55078125,-0.03515625,0.19921875
7142738313000,0.791015625,-0.06640625,-0.279296875,-0.55859375,-0.03515625,0.23828125
7142743520000,0.8125,-0.09375,-0.30078125,-0.55859375,-0.01953125,0.23046875
7142745783000,0.83203125,-0.099609375,-0.30859375,-0.63671875,-0.00390625,0.34375
7142748325000,0.837890625,-0.111328125,-0.341796875,-0.6484375,-0.046875,0.48828125
7142750795000,0.8515625,-0.125,-0.345703125,-0.6484375,-0.0390625,0.48828125
7142753378000,0.873046875,-0.125,-0.375,-0.67578125,-0.05078125,0.60546875
7142756018000,0.892578125,-0.126953125,-0.38671875,-0.65625,-0.109375,0.71875
7142758321000,0.919921875,-0.138671875,-0.416015625,-0.6875,-0.19921875,0.81640625
7142763329000,0.9765625,-0.169921875,-0.453125,-0.6875,-0.17578125,0.81640625
7142766150000,1.025390625,-0.173828125,-0.466796875,-0.71484375,-0.2734375,0.85546875
7142768317000,1.05859375,-0.1796875,-0.4765625,-0.71484375,-0.296875,0.953125
7142770805000,1.083984375,-0.1796875,-0.5,-0.71484375,-0.28125,0.953125
7142773340000,1.11328125,-0.169921875,-0.505859375,-0.70703125,-0.37109375,1.04296875
7142775829000,1.134765625,-0.18359375,-0.515625,-0.7265625,-0.44140625,1.203125
7142778264000,1.140625,-0.181640625,-0.505859375,-0.66796875,-0.51171875,1.4453125
7142783325000,1.138671875,-0.1953125,-0.517578125,-0.66015625,-0.48828125,1.4375
7142786167000,1.142578125,-0.197265625,-0.50390625,-0.6328125,-0.54296875,1.65625
7142788321000,1.142578125,-0.22265625,-0.50390625,-0.57421875,-0.58203125,1.91015625
7142790886000,1.16015625,-0.25,-0.486328125,-0.48828125,-0.5859375,2.015625
7142793271000,1.181640625,-0.279296875,-0.48828125,-0.48828125,-0.5703125,2.015625
7142795805000,1.22265625,-0.302734375,-0.46484375,-0.44921875,-0.6484375,2.0546875
7142798223000,1.2734375,-0.314453125,-0.48046875,-0.44140625,-0.671875,2.171875
7142800768000,1.341796875,-0.337890625,-0.47265625,-0.375,-0.66796875,2.35546875
7142803325000,1.416015625,-0.330078125,-0.470703125,-0.375,-0.65234375,2.34765625
7142805715000,1.484375,-0.333984375,-0.494140625,-0.23046875,-0.5390625,2.66796875
7142810758000,1.619140625,-0.283203125,-0.482421875,-0.22265625,-0.5,2.65234375
7142813550000,1.6796875,-0.263671875,-0.453125,0.484375,-0.0234375,3.046875
7142818259000,1.833984375,-0.296875,-0.5234375,0.140625,-0.43359375,3.328125
7142820969000,1.970703125,-0.2890625,-0.58984375,0.0078125,-0.703125,3.30078125
7142823276000,2.08984375,-0.240234375,-0.64453125,0.140625,-0.87890625,3.25
7142825829000,2.2109375,-0.2109375,-0.716796875,0.140625,-0.85546875,3.2421875
7142828081000,2.365234375,-0.1640625,-0.759765625,0.1875,-0.96484375,3.21875
7142830600000,2.490234375,-0.14453125,-0.8203125,0.3515625,-1.03125,3.15234375
7142833132000,2.640625,-0.076171875,-0.87890625,0.3515625,-1.0078125,3.15234375
7142835595000,2.76171875,-0.03125,-0.931640625,0.70703125,-0.90625,3.125
