timestamp_ns,type,seq,exposure_us,iso,path
2448823090000,rgb,10098,3001,1600,rgb/rgb_2448823090000_10098.png
2448856413000,rgb,10099,3001,1600,rgb/rgb_2448856413000_10099.png
2448889734000,rgb,10100,3001,1600,rgb/rgb_2448889734000_10100.png
2448923056000,rgb,10101,3001,1600,rgb/rgb_2448923056000_10101.png
2448956378000,rgb,10102,3001,1600,rgb/rgb_2448956378000_10102.png
2448989700000,rgb,10103,3001,1600,rgb/rgb_2448989700000_10103.png
2449023022000,rgb,10104,3001,1600,rgb/rgb_2449023022000_10104.png
2449056343000,rgb,10105,3001,1600,rgb/rgb_2449056343000_10105.png
2449089665000,rgb,10106,3001,1600,rgb/rgb_2449089665000_10106.png
2449122987000,rgb,10107,3001,1600,rgb/rgb_2449122987000_10107.png
2449156309000,rgb,10108,3001,1600,rgb/rgb_2449156309000_10108.png
2449189631000,rgb,10109,3001,1600,rgb/rgb_2449189631000_10109.png
2449222953000,rgb,10110,3001,1600,rgb/rgb_2449222953000_10110.png
2449256275000,rgb,10111,3001,1600,rgb/rgb_2449256275000_10111.png
2449289597000,rgb,10112,3001,1600,rgb/rgb_2449289597000_10112.png
2449322919000,rgb,10113,3001,1600,rgb/rgb_2449322919000_10113.png
2449356240000,rgb,10114,3001,1600,rgb/rgb_2449356240000_10114.png
2449389562000,rgb,10115,3001,1600,rgb/rgb_2449389562000_10115.png
2449422884000,rgb,10116,3001,1600,rgb/rgb_2449422884000_10116.png
2449456206000,rgb,10117,3001,1600,rgb/rgb_2449456206000_10117.png
2449489528000,rgb,10118,3001,1600,rgb/rgb_2449489528000_10118.png
2449522850000,rgb,10119,3001,1600,rgb/rgb_2449522850000_10119.png
2449556172000,rgb,10120,3001,1600,rgb/rgb_2449556172000_10120.png
2449589494000,rgb,10121,3001,1600,rgb/rgb_2449589494000_10121.png
2449622816000,rgb,10122,3001,1600,rgb/rgb_2449622816000_10122.png
2449656138000,rgb,10123,3001,1600,rgb/rgb_2449656138000_10123.png
2449689459000,rgb,10124,3001,1600,rgb/rgb_2449689459000_10124.png
2449722781000,rgb,10125,3001,1600,rgb/rgb_2449722781000_10125.png
2449756103000,rgb,10126,3001,1600,rgb/rgb_2449756103000_10126.png
2449789425000,rgb,10127,3001,1600,rgb/rgb_2449789425000_10127.png
2449822747000,rgb,10128,3001,1600,rgb/rgb_2449822747000_10128.png
2449856069000,rgb,10129,3001,1600,rgb/rgb_2449856069000_10129.png
2449889391000,rgb,10130,3001,1600,rgb/rgb_2449889391000_10130.png
2449922713000,rgb,10131,3001,1600,rgb/rgb_2449922713000_10131.png
2449956035000,rgb,10132,3001,1600,rgb/rgb_2449956035000_10132.png
2449989356000,rgb,10133,3001,1600,rgb/rgb_2449989356000_10133.png
2450022678000,rgb,10134,3001,1600,rgb/rgb_2450022678000_10134.png
2450056000000,rgb,10135,3001,1600,rgb/rgb_2450056000000_10135.png
2450089322000,rgb,10136,3001,1600,rgb/rgb_2450089322000_10136.png
2450122644000,rgb,10137,3001,1600,rgb/rgb_2450122644000_10137.png
2450155966000,rgb,10138,3001,1600,rgb/rgb_2450155966000_10138.png
2450189288000,rgb,10139,3001,1600,rgb/rgb_2450189288000_10139.png
2450222609000,rgb,10140,3001,1600,rgb/rgb_2450222609000_10140.png
2450255931000,rgb,10141,3001,1600,rgb/rgb_2450255931000_10141.png
2450289254000,rgb,10142,3001,1600,rgb/rgb_2450289254000_10142.png
2450322575000,rgb,10143,3001,1600,rgb/rgb_2450322575000_10143.png
2450355897000,rgb,10144,3001,1600,rgb/rgb_2450355897000_10144.png
2450389219000,rgb,10145,3001,1600,rgb/rgb_2450389219000_10145.png
2450422541000,rgb,10146,3001,1600,rgb/rgb_2450422541000_10146.png
2450455863000,rgb,10147,3001,1600,rgb/rgb_2450455863000_10147.png
2450489184000,rgb,10148,3001,1600,rgb/rgb_2450489184000_10148.png
2450522507000,rgb,10149,3001,1600,rgb/rgb_2450522507000_10149.png
2450555828000,rgb,10150,3001,1600,rgb/rgb_2450555828000_10150.png
2450589150000,rgb,10151,3001,1600,rgb/rgb_2450589150000_10151.png
2450622472000,rgb,10152,3001,1600,rgb/rgb_2450622472000_10152.png
2450655794000,rgb,10153,3001,1600,rgb/rgb_2450655794000_10153.png
2450689116000,rgb,10154,3001,1600,rgb/rgb_2450689116000_10154.png
2450722438000,rgb,10155,3001,1600,rgb/rgb_2450722438000_10155.png
2450755760000,rgb,10156,3001,1600,rgb/rgb_2450755760000_10156.png
2450789081000,rgb,10157,3001,1600,rgb/rgb_2450789081000_10157.png
2450822403000,rgb,10158,3001,1600,rgb/rgb_2450822403000_10158.png
2450855726000,rgb,10159,3001,1600,rgb/rgb_2450855726000_10159.png
2450889047000,rgb,10160,3001,1600,rgb/rgb_2450889047000_10160.png
2450922369000,rgb,10161,3001,1600,rgb/rgb_2450922369000_10161.png
2450955691000,rgb,10162,3001,1600,rgb/rgb_2450955691000_10162.png
2450989013000,rgb,10163,3001,1600,rgb/rgb_2450989013000_10163.png
2451022335000,rgb,10164,3001,1600,rgb/rgb_2451022335000_10164.png
2451055657000,rgb,10165,3001,1600,rgb/rgb_2451055657000_10165.png
2451088978000,rgb,10166,3001,1600,rgb/rgb_2451088978000_10166.png
2451122300000,rgb,10167,3001,1600,rgb/rgb_2451122300000_10167.png
